AA,1) Approval Authority
AA,2) Affirmative Action
AA,3) Applicant Assistance
AA,4) Allocation Advice
AAA,1) Agriculture Adjustment Administration
AAA,2) American Automobile Association
AAC,1) Applicant Assistance Center
AAC,2) Activity Address Code
AACS,Automated Access Control System
AAD,Assistant Associate Director
AADR,Age-Adjusted Death Rate
AAR,After-Action Report
AARP,American Association of Retired Persons
AASHTO,American Association of State Highway and Transportation Officials
ABA,1) American Bar Association
ABA,2) American Bankers Association
ABAG,Association of Bay Area Governments
ABC,1) Associated Builders and Contractors
ABC,2) American Baptist Churches
ABF,Automatic Broadcast Feed
ABM,Anti-Ballistic Missile
ABNCP,Airborne Command Post
ABO,Agents of Biological Origin
AC,1) Area Committee
AC,2) Hydrogen cyanide (symbol for)
ACAP,Agency-wide Corrective Action Program
ACC,1) Air Combat Command
ACC,2) Agency Command Center
ACCS,Accounting Classification Code Structure
ACE,1) American Council on Education
ACE,2) Automated Construction Estimate
ACE,3) Army Corps of Engineers
ACF,1) Area Cost Factor
ACF,2) Administration for Children and Families
ACFM,Advanced Certified Floodplain Manager
ACGIH,American Council of Government Industrial Hygienists
AChE,Acetylcholinesterase
ACHP,Advisory Council on Historic Preservation
ACI,1) Advanced Contracting Initiative
ACI,2) Approved Course of Instruction
ACIR,Advisory Commission on Intergovernmental Relations
ACO,1) Administrative Contracting Officer
ACO,2) Agency Claims Officer
ACO,3) Agency Collection Officer
ACP,1) Area Contingency Plan
ACP,2) Alternate Command Post
ACP,3) Accelerated Conversion Process
ACP,4) Allied Communications Publication
ACP,5) Access Control Point
ACP,6) Abbreviated Consultation Process
ACPSEM,Advisory Council on Professional Standards for Emergency Managers
ACR,1) Acreage Conservation Reserve
ACR,2) Agency Confirmation Report
ACR,3) Advance Confirmation Report
ACS,Alternate Command Staff
ACSM,American Congress on Surveying and Mapping
ACTD,Advanced Concepts Technology Demonstration
ACT FAST,Agent Characteristics Toxicity - First Aid and Special Treatment
ACV,Actual Cash Value
A/D,Analog/Digital
AD,Assistant Director
ADA,Americans with Disabilities Act
ADAMS,Automated Disaster Assistance Management System
ADD,Automated Deployment Database
ADDS,Automated Disaster Deployment System
ADEM,Arkansas Department of Emergency Management
ADES,Alaska Division of Emergency Services
ADGGS,Alaska Division of Geological and Geophysical Surveys
ADM,Acquisition Decision Memorandum
ADMIN,Administration
ADMSYS,Admissions System
ADOS,Automated Document Ordering System
ADP,Automated Data Processing
ADPE,Automated Data Processing Equipment
ADRA,Adventist Development and Relief Agency
ADRS,Automated Disaster Reporting System
ADS,Adventist Disaster Services
ADVON,Advanced Echelon
AE,1) Aeromedical Evacuation
AE,2) Architects and Engineering
A&E,Architectural and Engineering
AEA,American Economic Association
AEC,Agency Emergency Coordinator
AECB,Atomic Energy Control Board
AECC,1) Aeromedical Evacuation Coordination (or Control) Center
AECC,2) American Evangelical Christian Church
AECE,Aeromedical Evacuation Control Element
AECM,Aeromedical Evacuation Crew Member
AECR,Achieving Extraordinary Customer Relations
AEIC,Alaska Earthquake Information Center
AELT,Aeromedical Evacuation Liaison Team
AEMA,Alabama Emergency Management Agency
AERT,Alaska Emergency Response Team
AES,Aeromedical Evacuation System
AF,1) Air Force
AF,2) Acre Feet
AFB,Air Force Base
AFD,Airport Facility Directory
AFEM,Alliance for Fire and Emergency Management
AFGE,American Federation of Government Employees
AFGWC,Air Force Global Weather Central
AFMS,Automated Forms System
AFNSEP,Air Force National Security Emergency Preparedness
AFOSC,Air Force Operations Support Center
AFRAT,Air Force Radiation Assessment Team
AFRB,Air Force Reserve Base
AFRCC,Air Force Rescue Coordination Center
AFRES,Air Force Reserve
AFRRI,Armed Force Radiobiology Research Institute
AFSOF,Air Force Special Operations Forces
AFTAC,Air Force Technical Applications Center
AG,1) Agriculture
AG,2) Adjutant General
AG,3) Attorney General
AGAR,Alternate Governor’s Authorized Representative
AGC,1) Association of General Contractors
AGC,2) Advanced Gas Centrifuge
AGCA,Associated General Contractors of America
AGCR,Advanced Gas-Cooled Reactor
AGE,Aerospace Ground Equipment
AGL,Above Ground Level
AGO,Agency Collections Officer
AGZ,Actual Ground Zero
AH,Alternate Headquarters
AHCC,Alternate Host Communications Center
AHG,Ad Hoc Group
AHJ,Agency Having Jurisdiction
AIA,1) American Insurance Association
AIA,2) American Institute of Architects
AIC,Automated Inventory Control
AID,Agency for International Development
AIF,Assistance Information Form
AIG,Address Indicating Group
